REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Eje Cafetero - Antioquia,5,Antioquia,"5,002",Abejorral
Región Centro Oriente,54,Norte de Santander,"54,003",Abrego
Región Eje Cafetero - Antioquia,5,Antioquia,"5,004",Abriaquí
Región Llano,50,Meta,"50,006",Acacias
Región Pacífico,27,Chocó,"27,006",Acandí
Región Centro Sur,41,Huila,"41,006",Acevedo
Región Caribe,13,Bolívar,"13,006",Achí
Región Centro Sur,41,Huila,"41,013",Agrado
Región Centro Oriente,25,Cundinamarca,"25,001",Agua de Dios
Región Caribe,20,Cesar,"20,011",Aguachica
Región Centro Oriente,68,Santander,"68,013",Aguada
Región Eje Cafetero - Antioquia,17,Caldas,"17,013",Aguadas
Región Llano,85,Casanare,"85,010",Aguazul
Región Caribe,20,Cesar,"20,013",Agustín Codazzi
Región Centro Sur,41,Huila,"41,016",Aipe
Región Centro Oriente,25,Cundinamarca,"25,019",Albán
Región Pacífico,52,Nariño,"52,019",Albán
Región Centro Sur,18,Caquetá,"18,029",Albania
Región Caribe,44,La Guajira,"44,035",Albania
Región Centro Oriente,68,Santander,"68,020",Albania
Región Pacífico,76,Valle del Cauca,"76,020",Alcalá
Región Pacífico,52,Nariño,"52,022",Aldana
Región Eje Cafetero - Antioquia,5,Antioquia,"5,021",Alejandría
Región Caribe,47,Magdalena,"47,030",Algarrobo
Región Centro Sur,41,Huila,"41,020",Algeciras
Región Pacífico,19,Cauca,"19,022",Almaguer
Región Centro Oriente,15,Boyacá,"15,022",Almeida
Región Centro Sur,73,Tolima,"73,024",Alpujarra
Región Centro Sur,41,Huila,"41,026",Altamira
Región Pacífico,27,Chocó,"27,025",Alto Baudo
Región Caribe,13,Bolívar,"13,030",Altos del Rosario
Región Centro Sur,73,Tolima,"73,026",Alvarado
Región Eje Cafetero - Antioquia,5,Antioquia,"5,030",Amagá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,031",Amalfi
Región Centro Sur,73,Tolima,"73,030",Ambalema
Región Centro Oriente,25,Cundinamarca,"25,035",Anapoima
Región Pacífico,52,Nariño,"52,036",Ancuyá
Región Pacífico,76,Valle del Cauca,"76,036",Andalucía
Región Eje Cafetero - Antioquia,5,Antioquia,"5,034",Andes
Región Eje Cafetero - Antioquia,5,Antioquia,"5,036",Angelópolis
Región Eje Cafetero - Antioquia,5,Antioquia,"5,038",Angostura
Región Centro Oriente,25,Cundinamarca,"25,040",Anolaima
Región Eje Cafetero - Antioquia,5,Antioquia,"5,040",Anorí
Región Eje Cafetero - Antioquia,17,Caldas,"17,042",Anserma
Región Pacífico,76,Valle del Cauca,"76,041",Ansermanuevo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,044",Anza
Región Centro Sur,73,Tolima,"73,043",Anzoátegui
Región Eje Cafetero - Antioquia,5,Antioquia,"5,045",Apartadó
Región Eje Cafetero - Antioquia,66,Risaralda,"66,045",Apía
Región Centro Oriente,25,Cundinamarca,"25,599",Apulo
Región Centro Oriente,15,Boyacá,"15,047",Aquitania
Región Caribe,47,Magdalena,"47,053",Aracataca
Región Eje Cafetero - Antioquia,17,Caldas,"17,050",Aranzazu
Región Centro Oriente,68,Santander,"68,051",Aratoca
Región Llano,81,Arauca,"81,001",Arauca
Región Llano,81,Arauca,"81,065",Arauquita
Región Centro Oriente,25,Cundinamarca,"25,053",Arbeláez
Región Pacífico,52,Nariño,"52,051",Arboleda
Región Centro Oriente,54,Norte de Santander,"54,051",Arboledas
Región Eje Cafetero - Antioquia,5,Antioquia,"5,051",Arboletes
Región Centro Oriente,15,Boyacá,"15,051",Arcabuco
Región Caribe,13,Bolívar,"13,042",Arenal
Región Eje Cafetero - Antioquia,5,Antioquia,"5,055",Argelia
Región Pacífico,19,Cauca,"19,050",Argelia
Región Pacífico,76,Valle del Cauca,"76,054",Argelia
Región Caribe,47,Magdalena,"47,058",Ariguaní
Región Caribe,13,Bolívar,"13,052",Arjona
Región Eje Cafetero - Antioquia,5,Antioquia,"5,059",Armenia
Región Eje Cafetero - Antioquia,63,Quindío,"63,001",Armenia
Región Centro Sur,73,Tolima,"73,055",Armero
Región Caribe,13,Bolívar,"13,062",Arroyohondo
Región Caribe,20,Cesar,"20,032",Astrea
Región Centro Sur,73,Tolima,"73,067",Ataco
Región Pacífico,27,Chocó,"27,050",Atrato
Región Caribe,23,Córdoba,"23,068",Ayapel
Región Pacífico,27,Chocó,"27,073",Bagadó
Región Pacífico,27,Chocó,"27,075",Bahía Solano
Región Pacífico,27,Chocó,"27,077",Bajo Baudó
Región Pacífico,19,Cauca,"19,075",Balboa
Región Eje Cafetero - Antioquia,66,Risaralda,"66,075",Balboa
Región Caribe,8,Atlántico,"8,078",Baranoa
Región Centro Sur,41,Huila,"41,078",Baraya
Región Pacífico,52,Nariño,"52,079",Barbacoas
Región Eje Cafetero - Antioquia,5,Antioquia,"5,079",Barbosa
Región Centro Oriente,68,Santander,"68,077",Barbosa
Región Centro Oriente,68,Santander,"68,079",Barichara
Región Llano,50,Meta,"50,110",Barranca de Upía
Región Centro Oriente,68,Santander,"68,081",Barrancabermeja
Región Caribe,44,La Guajira,"44,078",Barrancas
Región Caribe,13,Bolívar,"13,074",Barranco de Loba
Región Llano,94,Guainía,"94,343",Barranco Minas
Región Caribe,8,Atlántico,"8,001",Barranquilla
Región Caribe,20,Cesar,"20,045",Becerril
Región Eje Cafetero - Antioquia,17,Caldas,"17,088",Belalcázar
Región Centro Oriente,15,Boyacá,"15,087",Belén
Región Pacífico,52,Nariño,"52,083",Belén
Región Pacífico,27,Chocó,"27,086",Belén de Bajira
Región Centro Sur,18,Caquetá,"18,094",Belén de Los Andaquies
Región Eje Cafetero - Antioquia,66,Risaralda,"66,088",Belén de Umbría
Región Eje Cafetero - Antioquia,5,Antioquia,"5,088",Bello
Región Eje Cafetero - Antioquia,5,Antioquia,"5,086",Belmira
Región Centro Oriente,25,Cundinamarca,"25,086",Beltrán
Región Centro Oriente,15,Boyacá,"15,090",Berbeo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,091",Betania
Región Centro Oriente,15,Boyacá,"15,092",Betéitiva
Región Eje Cafetero - Antioquia,5,Antioquia,"5,093",Betulia
Región Centro Oriente,68,Santander,"68,092",Betulia
Región Centro Oriente,25,Cundinamarca,"25,095",Bituima
Región Centro Oriente,15,Boyacá,"15,097",Boavita
Región Centro Oriente,54,Norte de Santander,"54,099",Bochalema
Región Centro Oriente,11,Bogotá D.C.,"11,001",Bogotá D.C.
