,origin,destiny,Source,Target
0,colombia,gobierno,0,1
1,colombia,pais,0,2
2,gobierno,colombia,1,0
3,gobierno,pais,1,2
4,pais,colombia,2,0
5,pais,gobierno,2,1
6,solucion,mojana,3,4
7,solucion,soluciones,3,5
8,mojana,solucion,4,3
9,mojana,soluciones,4,5
10,soluciones,solucion,5,3
11,soluciones,mojana,5,4
12,libros,palabra,6,7
13,libros,palabras,6,8
14,palabra,libros,7,6
15,palabra,palabras,7,8
16,palabras,libros,8,6
17,palabras,palabra,8,7
18,cauca,fuerzas,9,10
19,cauca,paz,9,11
20,fuerzas,cauca,10,9
21,fuerzas,paz,10,11
22,paz,cauca,11,9
23,paz,fuerzas,11,10
24,narino,edificio,12,13
25,narino,administrativo,12,14
26,edificio,narino,13,12
27,edificio,administrativo,13,14
28,administrativo,narino,14,12
29,administrativo,edificio,14,13
30,pais,presidente,2,15
31,pais,mundo,2,16
32,presidente,pais,15,2
33,presidente,mundo,15,16
34,mundo,pais,16,2
35,mundo,presidente,16,15
36,medio,ambiente,17,18
37,medio,mar,17,19
38,ambiente,medio,18,17
39,ambiente,mar,18,19
40,mar,medio,19,17
41,mar,ambiente,19,18
42,colombia,san,0,20
43,colombia,andres,0,21
44,san,colombia,20,0
45,san,andres,20,21
46,andres,colombia,21,0
47,andres,san,21,20
48,pais,empleo,2,22
49,pais,unidad,2,23
50,empleo,pais,22,2
51,empleo,unidad,22,23
52,unidad,pais,23,2
53,unidad,empleo,23,22
54,regiones,caribe,24,25
55,regiones,pais,24,2
56,caribe,regiones,25,24
57,caribe,pais,25,2
58,pais,regiones,2,24
59,pais,caribe,2,25
60,pobreza,ley,26,27
61,pobreza,guajira,26,28
62,ley,pobreza,27,26
63,ley,guajira,27,28
64,guajira,pobreza,28,26
65,guajira,ley,28,27
66,deporte,colombianos,29,30
67,deporte,ejemplo,29,31
68,colombianos,deporte,30,29
69,colombianos,ejemplo,30,31
70,ejemplo,deporte,31,29
71,ejemplo,colombianos,31,30
72,cafeteros,cafe,32,33
73,cafeteros,pais,32,2
74,cafe,cafeteros,33,32
75,cafe,pais,33,2
76,pais,cafeteros,2,32
77,pais,cafe,2,33
78,sector,pais,34,2
79,sector,financiero,34,35
80,pais,sector,2,34
81,pais,financiero,2,35
82,financiero,sector,35,34
83,financiero,pais,35,2
84,cauca,pobreza,9,26
85,cauca,acuerdos,9,36
86,pobreza,cauca,26,9
87,pobreza,acuerdos,26,36
88,acuerdos,cauca,36,9
89,acuerdos,pobreza,36,26
90,solidaridad,colombianos,37,30
91,solidaridad,caminata,37,38
92,colombianos,solidaridad,30,37
93,colombianos,caminata,30,38
94,caminata,solidaridad,38,37
95,caminata,colombianos,38,30
96,gobierno,corrupcion,1,39
97,gobierno,control,1,40
98,corrupcion,gobierno,39,1
99,corrupcion,control,39,40
100,control,gobierno,40,1
101,control,corrupcion,40,39
102,presidente,brasil,15,41
103,presidente,pais,15,2
104,brasil,presidente,41,15
105,brasil,pais,41,2
106,pais,presidente,2,15
107,pais,brasil,2,41
108,constitucional,derechos,42,43
109,constitucional,constitucion,42,44
110,derechos,constitucional,43,42
111,derechos,constitucion,43,44
112,constitucion,constitucional,44,42
113,constitucion,derechos,44,43
114,tierras,campesinos,45,46
115,tierras,tierra,45,47
116,campesinos,tierras,46,45
117,campesinos,tierra,46,47
118,tierra,tierras,47,45
119,tierra,campesinos,47,46
120,vivienda,brasil,48,41
121,vivienda,paises,48,49
122,brasil,vivienda,41,48
123,brasil,paises,41,49
124,paises,vivienda,49,48
125,paises,brasil,49,41
126,corrupcion,lucha,39,50
127,corrupcion,gobierno,39,1
128,lucha,corrupcion,50,39
129,lucha,gobierno,50,1
130,gobierno,corrupcion,1,39
131,gobierno,lucha,1,50
132,democracia,elecciones,51,52
133,democracia,seguridad,51,53
134,elecciones,democracia,52,51
135,elecciones,seguridad,52,53
136,seguridad,democracia,53,51
137,seguridad,elecciones,53,52
138,comerciantes,pais,54,2
139,comerciantes,formalizacion,54,55
140,pais,comerciantes,2,54
141,pais,formalizacion,2,55
142,formalizacion,comerciantes,55,54
143,formalizacion,pais,55,2
144,comercio,colombia,56,0
145,comercio,paises,56,49
146,colombia,comercio,0,56
147,colombia,paises,0,49
148,paises,comercio,49,56
149,paises,colombia,49,0
150,judicial,justicia,57,58
151,judicial,gobierno,57,1
152,justicia,judicial,58,57
153,justicia,gobierno,58,1
154,gobierno,judicial,1,57
155,gobierno,justicia,1,58
156,colegio,educacion,59,60
157,colegio,restauracion,59,61
158,educacion,colegio,60,59
159,educacion,restauracion,60,61
160,restauracion,colegio,61,59
161,restauracion,educacion,61,60
162,educacion,ciento,60,62
163,educacion,colegio,60,59
164,ciento,educacion,62,60
165,ciento,colegio,62,59
166,colegio,educacion,59,60
167,colegio,ciento,59,62
168,justicia,reforma,58,63
169,justicia,mesa,58,64
170,reforma,justicia,63,58
171,reforma,mesa,63,64
172,mesa,justicia,64,58
173,mesa,reforma,64,63
174,colombia,colombianos,0,30
175,colombia,deporte,0,29
176,colombianos,colombia,30,0
177,colombianos,deporte,30,29
178,deporte,colombia,29,0
179,deporte,colombianos,29,30
180,infraestructura,nacional,65,66
181,infraestructura,unidad,65,23
182,nacional,infraestructura,66,65
183,nacional,unidad,66,23
184,unidad,infraestructura,23,65
185,unidad,nacional,23,66
186,colombia,libertad,0,67
187,colombia,patria,0,68
188,libertad,colombia,67,0
189,libertad,patria,67,68
190,patria,colombia,68,0
191,patria,libertad,68,67
192,presidente,ciento,15,62
193,presidente,general,15,69
194,ciento,presidente,62,15
195,ciento,general,62,69
196,general,presidente,69,15
197,general,ciento,69,62
198,inteligencia,policia,70,71
199,inteligencia,cooperacion,70,72
200,policia,inteligencia,71,70
201,policia,cooperacion,71,72
202,cooperacion,inteligencia,72,70
203,cooperacion,policia,72,71
204,salud,sistema,73,74
205,salud,calidad,73,75
206,sistema,salud,74,73
207,sistema,calidad,74,75
208,calidad,salud,75,73
209,calidad,sistema,75,74
210,gobierno,ministerio,1,76
211,gobierno,ministro,1,77
212,ministerio,gobierno,76,1
213,ministerio,ministro,76,77
214,ministro,gobierno,77,1
215,ministro,ministerio,77,76
216,objetivos,desarrollo,78,79
217,objetivos,colombia,78,0
218,desarrollo,objetivos,79,78
219,desarrollo,colombia,79,0
220,colombia,objetivos,0,78
221,colombia,desarrollo,0,79
222,colombianos,colombia,30,0
223,colombianos,fuerzas,30,10
224,colombia,colombianos,0,30
225,colombia,fuerzas,0,10
226,fuerzas,colombianos,10,30
227,fuerzas,colombia,10,0
228,mundo,pais,16,2
229,mundo,naciones,16,80
230,pais,mundo,2,16
231,pais,naciones,2,80
232,naciones,mundo,80,16
233,naciones,pais,80,2
234,operacion,fuerzas,81,10
235,operacion,historia,81,82
236,fuerzas,operacion,10,81
237,fuerzas,historia,10,82
238,historia,operacion,82,81
