Id,Label,timeset,index,node,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,eigencentrality
0,colombia,,0,colombia,2524,3,0.617756,0.705256,57232.632973,0.021658,489,0.91889
1,gobierno,,1,gobierno,472,4,0.5,0.541417,4613.906335,0.11211,212,0.224858
2,pais,,2,pais,2996,4,0.623134,0.707086,61745.42202,0.025217,564,1
3,solucion,,3,solucion,0,0,0,0,0,0,0,0
4,mojana,,4,mojana,0,0,0,0,0,0,0,0
5,soluciones,,5,soluciones,0,0,0,0,0,0,0,0
6,libros,,6,libros,18,5,0.388372,0.409914,929.022977,0.3,3,0.007191
7,palabra,,7,palabra,0,0,0,0,0,0,0,0
8,palabras,,8,palabras,0,0,0,0,0,0,0,0
9,cauca,,9,cauca,0,0,0,0,0,0,0,0
10,fuerzas,,10,fuerzas,332,4,0.457117,0.488523,3811.967466,0.160099,65,0.104969
11,paz,,11,paz,1570,4,0.525157,0.58666,16970.517865,0.05319,296,0.722826
12,narino,,12,narino,14,5,0.396675,0.418064,0.52132,0.666667,4,0.010049
13,edificio,,13,edificio,0,0,0,0,0,0,0,0
14,administrativo,,14,administrativo,0,0,0,0,0,0,0,0
15,presidente,,15,presidente,478,4,0.470865,0.515303,6805.303304,0.079826,110,0.254709
16,mundo,,16,mundo,218,4,0.451351,0.479375,420.662646,0.212121,49,0.1681
17,medio,,17,medio,46,4,0.384793,0.407186,500.921373,0.5,5,0.010308
18,ambiente,,18,ambiente,36,4,0.384793,0.406354,2.410864,0.666667,4,0.005529
19,mar,,19,mar,0,0,0,0,0,0,0,0
20,san,,20,san,46,4,0.423142,0.443779,998,0.4,4,0.006945
21,andres,,21,andres,36,5,0.297683,0.306287,0,1,1,0.000646
22,empleo,,22,empleo,134,4,0.435652,0.462409,512.016748,0.366667,44,0.064367
23,unidad,,23,unidad,10,5,0.385088,0.404258,0,1,1,0.006829
24,regiones,,24,regiones,4,5,0.385088,0.404258,0,1,1,0.002403
25,caribe,,25,caribe,14,4,0.388673,0.41151,998.907053,0.333333,5,0.002411
26,pobreza,,26,pobreza,168,4,0.4567,0.486527,2303.084275,0.261538,85,0.08432
27,ley,,27,ley,130,4,0.451351,0.478044,332.024344,0.284211,54,0.05869
28,guajira,,28,guajira,12,5,0.335566,0.348204,0,1,1,0.00175
29,deporte,,29,deporte,80,4,0.443363,0.466733,1581.500065,0.217949,17,0.03389
30,colombianos,,30,colombianos,338,4,0.477598,0.507319,2920.106199,0.188948,106,0.222857
31,ejemplo,,31,ejemplo,4,4,0.421362,0.44012,0,1,1,0.004315
32,cafeteros,,32,cafeteros,56,4,0.42711,0.448769,242.797254,0.52381,11,0.017469
33,cafe,,33,cafe,54,4,0.424217,0.446108,263.23768,0.47619,10,0.01881
34,sector,,34,sector,148,4,0.435274,0.462741,2987.471916,0.198529,27,0.101418
35,financiero,,35,financiero,2,5,0.303452,0.312774,0,0,0,0.000241
36,acuerdos,,36,acuerdos,24,5,0.39984,0.421391,0,1,6,0.017835
37,solidaridad,,37,solidaridad,4,4,0.384202,0.404524,0,1,1,0.002563
38,caminata,,38,caminata,0,0,0,0,0,0,0,0
39,corrupcion,,39,corrupcion,90,4,0.443363,0.4669,689.919329,0.346154,27,0.020885
40,control,,40,control,0,0,0,0,0,0,0,0
41,brasil,,41,brasil,26,4,0.426383,0.445276,0,1,3,0.02479
42,constitucional,,42,constitucional,4,5,0.305116,0.313872,0.087838,0,0,0.000094
43,derechos,,43,derechos,92,4,0.455041,0.47821,1170.971281,0.316667,38,0.037114
44,constitucion,,44,constitucion,12,4,0.424576,0.44511,168.333568,0.5,5,0.006583
45,tierras,,45,tierras,18,5,0.320948,0.333067,0.54977,0.333333,2,0.001686
46,campesinos,,46,campesinos,24,4,0.436792,0.456587,52.887497,0.6,9,0.012818
47,tierra,,47,tierra,16,5,0.397304,0.419395,4.874154,0.6,6,0.007994
48,vivienda,,48,vivienda,44,5,0.39325,0.417898,37.305697,0.388889,14,0.014214
49,paises,,49,paises,166,4,0.439474,0.465569,526.631823,0.333333,40,0.091979
50,lucha,,50,lucha,44,4,0.437173,0.46008,413.919769,0.363636,20,0.006615
51,democracia,,51,democracia,44,4,0.440246,0.460745,245.732021,0.392857,11,0.021837
52,elecciones,,52,elecciones,52,4,0.431525,0.453925,800.422987,0.333333,12,0.016684
53,seguridad,,53,seguridad,222,4,0.458791,0.494012,4400.926579,0.129412,77,0.072185
54,comerciantes,,54,comerciantes,0,0,0,0,0,0,0,0
55,formalizacion,,55,formalizacion,0,0,0,0,0,0,0,0
56,comercio,,56,comercio,58,4,0.434519,0.457252,13.813548,0.488889,22,0.041205
57,judicial,,57,judicial,10,5,0.336694,0.349701,0,1,1,0.001375
58,justicia,,58,justicia,224,4,0.452166,0.482701,1777.210963,0.218462,71,0.087617
59,colegio,,59,colegio,64,4,0.430412,0.451763,9.239687,0.666667,14,0.021801
60,educacion,,60,educacion,410,4,0.461326,0.495343,3958.775534,0.153298,86,0.184139
61,restauracion,,61,restauracion,0,0,0,0,0,0,0,0
62,ciento,,62,ciento,176,4,0.463889,0.49185,1253.510862,0.221538,72,0.109884
63,reforma,,63,reforma,58,4,0.433766,0.456753,30.694651,0.488889,22,0.024882
64,mesa,,64,mesa,0,0,0,0,0,0,0,0
